duration_ms,danceability,speechiness,popularity
203000,0.666,0.208,66
192439,0.671,0.0526,70
289760,0.805,0.0363,61
127828,0.672,0.0349,63
226168,0.677,0.0632,63
172561,0.716,0.3,61
306309,0.583,0.0356,57
291400,0.626,0.0308,64
199587,0.77,0.0607,61
212400,0.736,0.135,63
415613,0.568,0.276,67
298520,0.511,0.095,62
344293,0.75,0.0779,58
209437,0.609,0.0459,58
184400,0.654,0.0285,63
168484,0.655,0.0389,60
260667,0.615,0.0466,65
242680,0.719,0.0916,67
216630,0.885,0.19,61
182551,0.677,0.178,60
232702,0.597,0.0577,65
139613,0.76,0.226,58
182264,0.735,0.0359,60
226581,0.733,0.0432,64
340800,0.543,0.0626,61
180000,0.863,0.0569,60
237000,0.446,0.0295,67
346267,0.815,0.089,61
201720,0.562,0.0794,64
198093,0.382,0.0871,58
162591,0.822,0.285,60
146773,0.736,0.195,62
223480,0.635,0.168,63
214760,0.71,0.0424,67
186467,0.647,0.12,60
188160,0.939,0.289,60
128333,0.77,0.0679,60
189867,0.58,0.061,64
192500,0.52,0.0407,60
182752,0.687,0.405,64
223440,0.778,0.0292,62
240375,0.752,0.138,63
209120,0.712,0.0739,65
162493,0.532,0.381,62
177517,0.708,0.0549,61
222853,0.703,0.0413,62
174200,0.696,0.126,61
141920,0.756,0.212,61
282533,0.833,0.215,68
296227,0.476,0.141,61
230400,0.363,0.0632,58
75800,0.633,0.081,61
259720,0.573,0.0732,66
193893,0.63,0.0381,65
294787,0.704,0.0391,67
174177,0.809,0.058,59
218160,0.621,0.0344,66
275493,0.68,0.0987,64
243053,0.84,0.0333,60
280333,0.611,0.0291,61
82960,0.422,0.16,57
139522,0.788,0.0278,62
128985,0.656,0.0517,58
209663,0.793,0.0626,65
269973,0.668,0.0382,61
225027,0.568,0.0273,61
157941,0.642,0.286,60
329542,0.667,0.342,64
246815,0.646,0.0547,66
227707,0.824,0.332,66
314433,0.653,0.108,66
165200,0.53,0.133,68
213348,0.77,0.15,65
256347,0.8,0.0506,66
203627,0.821,0.24,67
122346,0.684,0.037,60
245960,0.435,0.201,68
169120,0.444,0.151,58
182400,0.84,0.0696,61
304000,0.777,0.316,62
236213,0.855,0.0424,61
226299,0.676,0.211,61
231933,0.796,0.108,66
268087,0.866,0.388,62
203636,0.449,0.0682,59
220008,0.34,0.0426,59
234360,0.711,0.0766,59
245619,0.436,0.0886,58
207400,0.648,0.0608,59
69389,0.506,0.125,60
147093,0.587,0.0264,59
241000,0.49,0.0434,60
325615,0.412,0.243,62
206133,0.327,0.16,60
240347,0.752,0.0309,61
225080,0.539,0.138,62
340493,0.371,0.0574,64
237798,0.435,0.143,63
206720,0.762,0.0817,67
193296,0.697,0.25,61
234040,0.577,0.0563,66
191981,0.812,0.173,60
233871,0.711,0.154,58
257484,0.467,0.0486,61
207719,0.334,0.0328,61
213238,0.401,0.297,59
236893,0.776,0.256,59
182947,0.709,0.0788,63
198733,0.49,0.0489,67
245947,0.529,0.197,61
195173,0.587,0.254,64
75800,0.719,0.141,58
251160,0.769,0.212,64
261867,0.656,0.0348,64
161067,0.883,0.0465,59
199179,0.674,0.109,71
188311,0.449,0.0323,60
220053,0.458,0.361,60
207403,0.476,0.0403,57
178507,0.77,0.136,63
180551,0.522,0.0631,61
217482,0.652,0.155,61
168213,0.61,0.196,59
325840,0.58,0.386,64
296040,0.486,0.0342,67
246184,0.589,0.215,58
156958,0.446,0.0543,57
178851,0.822,0.189,64
60000,0.756,0.0592,59
190960,0.784,0.0534,60
210133,0.424,0.097,63
190430,0.559,0.0414,70
234370,0.816,0.0752,66
303903,0.687,0.064,65
213019,0.318,0.0793,70
223966,0.687,0.0902,67
281880,0.655,0.195,63
220300,0.683,0.172,64
218936,0.621,0.0328,60
189933,0.605,0.0846,63
60000,0.702,0.151,58
251433,0.819,0.17,61
279549,0.665,0.0603,59
252540,0.478,0.111,59
257187,0.534,0.106,66
213307,0.607,0.0978,73
